iter	Passed	Remaining
0	90	90078
1	162	81133
2	217	72427
3	272	67923
4	335	66782
5	390	64654
6	446	63313
7	501	62191
8	554	61101
9	613	60733
10	668	60135
11	723	59527
12	780	59227
13	836	58912
14	890	58487
15	947	58284
16	1002	57996
17	1059	57775
18	1115	57598
19	1171	57391
20	1226	57177
21	1284	57099
22	1343	57083
23	1400	56955
24	1457	56844
25	1516	56810
26	1572	56682
27	1627	56507
28	1690	56614
29	1745	56427
30	1799	56258
31	1857	56185
32	1913	56080
33	1968	55941
34	2024	55809
35	2080	55723
36	2138	55667
37	2194	55556
38	2250	55457
39	2304	55319
40	2368	55403
41	2427	55370
42	2484	55296
43	2538	55164
44	2592	55010
45	2647	54914
46	2760	55974
47	2870	56921
48	2925	56776
49	2980	56635
50	3036	56508
51	3094	56418
52	3150	56290
53	3205	56156
54	3264	56090
55	3317	55931
56	3385	56011
57	3439	55864
58	3495	55756
59	3547	55579
60	3601	55444
61	3655	55304
62	3709	55174
63	3763	55041
64	3817	54914
65	3874	54831
66	3929	54713
67	3983	54602
68	4039	54508
69	4092	54369
70	4145	54242
71	4200	54139
72	4256	54046
73	4310	53937
74	4373	53934
75	4429	53847
76	4483	53748
77	4536	53628
78	4589	53507
79	4643	53404
80	4700	53335
81	4756	53249
82	4811	53154
83	4868	53086
84	4924	53006
85	4982	52953
86	5039	52890
87	5092	52777
88	5152	52739
89	5206	52645
90	5260	52545
91	5313	52444
92	5377	52445
93	5432	52356
94	5492	52319
95	5544	52213
96	5602	52156
97	5655	52054
98	5710	51967
99	5772	51953
100	5829	51886
101	5880	51775
102	5933	51674
103	5987	51584
104	6045	51527
105	6163	51979
106	6265	52293
107	6323	52226
108	6390	52234
109	6444	52142
110	6499	52053
111	6555	51973
112	6613	51913
113	6673	51865
114	6726	51763
115	6784	51698
116	6838	51607
117	6893	51524
118	6948	51441
119	7003	51359
120	7063	51314
121	7114	51202
122	7174	51152
123	7229	51069
124	7282	50976
125	7340	50915
126	7407	50922
127	7462	50841
128	7517	50757
129	7570	50662
130	7629	50611
131	7684	50528
132	7738	50447
133	7792	50361
134	7848	50287
135	7902	50202
136	7960	50144
137	8020	50098
138	8074	50013
139	8126	49922
140	8185	49865
141	8240	49791
142	8294	49707
143	8365	49730
144	8430	49710
145	8481	49612
146	8534	49520
147	8587	49433
148	8644	49373
149	8704	49326
150	8761	49261
151	8818	49195
152	8871	49109
153	8923	49019
154	8978	48948
155	9034	48880
156	9089	48803
157	9143	48724
158	9196	48645
159	9252	48576
160	9304	48486
161	9358	48410
162	9431	48430
163	9484	48346
164	9539	48273
165	9592	48193
166	9647	48119
167	9699	48037
168	9759	47990
169	9818	47936
170	9874	47869
171	9926	47785
172	9981	47715
173	10037	47651
174	10096	47596
175	10171	47623
176	10249	47657
177	10332	47717
178	10423	47806
179	10478	47735
180	10535	47672
181	10593	47614
182	10653	47564
183	10707	47485
184	10763	47416
185	10818	47345
186	10869	47256
187	10922	47175
188	10980	47117
189	11039	47064
190	11097	47005
191	11155	46947
192	11213	46885
193	11273	46835
194	11325	46752
195	11383	46693
196	11446	46657
197	11504	46600
198	11557	46521
199	11615	46460
200	11672	46399
201	11727	46327
202	11784	46266
203	11838	46192
204	11891	46114
205	11949	46056
206	12006	45996
207	12064	45937
208	12118	45865
209	12175	45804
210	12229	45729
211	12286	45670
212	12339	45594
213	12397	45535
214	12460	45497
215	12513	45420
216	12567	45347
217	12621	45274
218	12680	45220
219	12733	45146
220	12786	45072
221	12844	45013
222	12903	44959
223	12963	44907
224	13023	44859
225	13081	44801
226	13139	44745
227	13193	44672
228	13252	44618
229	13305	44544
230	13357	44467
231	13426	44447
232	13486	44393
233	13543	44335
234	13599	44271
235	13659	44221
236	13718	44164
237	13771	44091
238	13832	44042
239	13885	43970
240	13942	43911
241	14001	43855
242	14055	43785
243	14109	43716
244	14167	43658
245	14222	43593
246	14277	43527
247	14332	43461
248	14389	43400
249	14452	43357
250	14507	43290
251	14566	43238
252	14624	43179
253	14681	43119
254	14740	43063
255	14792	42991
256	14847	42926
257	14901	42855
258	14954	42783
259	15016	42738
260	15070	42671
261	15125	42606
262	15178	42534
263	15236	42477
264	15294	42420
265	15353	42366
266	15408	42301
267	15470	42254
268	15528	42198
269	15589	42148
270	15648	42094
271	15706	42037
272	15764	41980
273	15826	41933
274	15877	41858
275	15930	41788
276	15987	41728
277	16038	41654
278	16092	41585
279	16156	41544
280	16210	41478
281	16264	41410
282	16316	41339
283	16374	41282
284	16430	41220
285	16491	41171
286	16550	41116
287	16610	41064
288	16667	41006
289	16727	40952
290	16785	40896
291	16852	40861
292	16907	40797
293	16965	40741
294	17020	40676
295	17074	40608
296	17131	40549
297	17187	40488
298	17243	40426
299	17298	40362
300	17357	40307
301	17416	40252
302	17478	40206
303	17532	40140
304	17591	40085
305	17649	40029
306	17709	39975
307	17761	39906
308	17819	39848
309	17875	39788
310	17930	39722
311	17984	39658
312	18044	39605
313	18098	39539
314	18151	39471
315	18209	39415
316	18267	39358
317	18321	39292
318	18393	39266
319	18449	39204
320	18503	39139
321	18560	39081
322	18614	39015
323	18671	38956
324	18730	38901
325	18783	38834
326	18844	38783
327	18903	38728
328	18960	38669
329	19019	38615
330	19072	38547
331	19131	38493
332	19190	38438
333	19251	38388
334	19305	38323
335	19356	38251
336	19411	38188
337	19472	38139
338	19530	38082
339	19591	38029
340	19650	37975
341	19708	37919
342	19761	37852
343	19823	37802
344	19878	37740
345	19931	37673
346	19985	37609
347	20039	37546
348	20097	37488
349	20153	37428
350	20209	37367
351	20264	37304
352	20321	37247
353	20378	37187
354	20467	37187
355	20557	37188
356	20644	37183
357	20710	37140
358	20769	37083
359	20822	37017
360	20879	36958
361	20930	36889
362	20989	36833
363	21090	36849
364	21195	36875
365	21264	36834
366	21318	36769
367	21367	36695
368	21421	36631
369	21484	36581
370	21542	36524
371	21598	36462
372	21652	36396
373	21705	36330
374	21764	36273
375	21817	36208
376	21870	36140
377	21928	36083
378	21986	36024
379	22040	35961
380	22095	35897
381	22153	35840
382	22206	35774
383	22260	35709
384	22318	35652
385	22377	35594
386	22431	35530
387	22495	35482
388	22553	35425
389	22614	35370
390	22674	35315
391	22728	35251
392	22782	35188
393	22836	35124
394	22890	35059
395	22946	34999
396	23004	34941
397	23062	34883
398	23119	34823
399	23173	34759
400	23229	34699
401	23283	34636
402	23342	34578
403	23398	34517
404	23450	34452
405	23515	34403
406	23572	34345
407	23627	34283
408	23678	34214
409	23735	34156
410	23792	34096
411	23849	34037
412	23907	33979
413	23966	33924
414	24027	33869
415	24085	33812
416	24139	33749
417	24193	33685
418	24252	33629
419	24305	33565
420	24364	33509
421	24422	33450
422	24477	33388
423	24539	33336
424	24597	33279
425	24649	33212
426	24702	33148
427	24756	33085
428	24815	33029
429	24873	32972
430	24930	32912
431	24985	32851
432	25036	32784
433	25094	32727
434	25147	32663
435	25206	32607
436	25259	32542
437	25310	32475
438	25363	32412
439	25421	32354
440	25474	32290
441	25538	32240
442	25594	32181
443	25653	32124
444	25708	32063
445	25762	32000
446	25814	31936
447	25872	31878
448	25924	31813
449	25976	31749
450	26032	31689
451	26090	31631
452	26148	31574
453	26203	31513
454	26256	31450
455	26314	31392
456	26369	31331
457	26424	31270
458	26480	31211
459	26542	31158
460	26594	31094
461	26652	31037
462	26708	30976
463	26760	30913
464	26819	30856
465	26874	30796
466	26928	30733
467	26982	30672
468	27034	30608
469	27095	30553
470	27153	30496
471	27211	30440
472	27264	30377
473	27321	30318
474	27383	30266
475	27437	30204
476	27495	30146
477	27555	30092
478	27616	30037
479	27674	29981
480	27732	29923
481	27791	29867
482	27841	29801
483	27900	29745
484	27957	29686
485	28011	29625
486	28063	29561
487	28120	29502
488	28177	29444
489	28236	29388
490	28293	29330
491	28366	29289
