iter	Logloss	Accuracy
120	0.5011208966	0.7596993139
121	0.5010348473	0.7597311952
122	0.5009274674	0.7597425813
123	0.5008360204	0.759758522
124	0.5007534389	0.7597539675
125	0.5006854	0.759758522
126	0.5006098166	0.7598245618
127	0.5005282357	0.759788126
128	0.500462126	0.7597995122
129	0.5003938642	0.7598837699
130	0.5003060366	0.7599110967
131	0.5002296071	0.7598723837
132	0.5001616124	0.7598769382
133	0.500102606	0.7599019878
134	0.5000277209	0.7598951561
135	0.4999396346	0.7598906016
136	0.4998745294	0.7598974333
137	0.4998100386	0.759942978
138	0.4997486823	0.7599908
139	0.4996870933	0.7600135723
140	0.4996241305	0.7600454536
141	0.4995579401	0.7600363447
142	0.4994955865	0.7600408991
143	0.4994453398	0.7600090179
144	0.4993984255	0.760020404
145	0.4993427425	0.7599748593
146	0.4992871103	0.7599885227
147	0.4992371753	0.7600568398
148	0.4991924355	0.760068226
149	0.4991250601	0.7600773349
150	0.4990771803	0.7600408991
151	0.4990164351	0.760020404
152	0.4989703295	0.7600090179
153	0.4989243429	0.7599885227
154	0.4988629153	0.7599839683
155	0.4988115594	0.759952087
156	0.498769848	0.7599885227
157	0.4987278396	0.7600818894
158	0.4986902698	0.7601228796
159	0.4986494441	0.7600522853
160	0.4986082924	0.7600249585
161	0.4985736416	0.7600750577
162	0.4985228557	0.7600887211
163	0.4984908477	0.7600522853
164	0.4984584982	0.7599384236
165	0.4984053532	0.7600044634
166	0.4983666703	0.7600454536
167	0.4983285811	0.7600522853
168	0.4982852841	0.7599885227
169	0.4982436569	0.7600932756
170	0.4982123512	0.7599999089
171	0.4981699155	0.7600272357
172	0.4981381511	0.7599839683
173	0.4981089583	0.7600112951
174	0.4980625807	0.7600408991
175	0.4980237672	0.7599794138
176	0.4979984522	0.7599976317
177	0.4979674285	0.7599999089
178	0.4979237308	0.7599657504
179	0.497888534	0.7599315919
180	0.4978581471	0.7599065423
181	0.4978244442	0.7598997106
182	0.4977995533	0.7599566414
183	0.4977741322	0.7598222846
184	0.4977515087	0.7599019878
185	0.4977143638	0.7599407008
186	0.4976830182	0.7599384236
187	0.4976583093	0.7599839683
188	0.4976206468	0.7599999089
189	0.4975869973	0.7599361463
190	0.497563231	0.7599315919
191	0.4975418485	0.7600135723
192	0.4975110582	0.7599247602
193	0.4974820389	0.7598951561
194	0.4974603977	0.7598564431
195	0.4974293434	0.7599110967
196	0.4973944038	0.7598928789
197	0.4973524266	0.7599475325
198	0.497322535	0.7599202057
199	0.4972892605	0.7598906016
200	0.4972605172	0.7599179284
201	0.4972430395	0.7600522853
202	0.4972178314	0.759981691
203	0.4971912253	0.7599794138
204	0.4971716295	0.760059117
205	0.4971406275	0.7600477308
206	0.4971142195	0.7601092162
207	0.4970853941	0.7601046617
208	0.4970574539	0.7601661471
209	0.4970248645	0.7601092162
210	0.4970029436	0.7602208007
211	0.4969764825	0.7602959495
212	0.4969579253	0.7603255535
213	0.4969361226	0.7602845633
214	0.4969198562	0.7603027812
215	0.4968966832	0.7603050584
216	0.4968688366	0.7603847617
217	0.4968478173	0.760330108
218	0.4968286511	0.7603164446
219	0.4968115165	0.760261791
220	0.4967942925	0.760291395
221	0.4967671585	0.7603027812
222	0.4967496663	0.7602891178
223	0.496733414	0.760261791
224	0.4967138669	0.760291395
225	0.4966871571	0.7602822861
226	0.4966486171	0.7603073357
227	0.4966302248	0.7603050584
228	0.4966089143	0.7603027812
