iter	Passed	Remaining
0	493	492659
1	977	487532
2	1478	491273
3	1852	461387
4	2510	499526
5	3041	503898
6	3560	505129
7	4014	497831
8	4590	505495
9	4956	490741
10	5319	478312
11	5786	476455
12	6260	475284
13	6806	479369
14	7363	483508
15	7913	486680
16	8298	479855
17	8845	482567
18	9378	484214
19	9884	484345
20	10347	482377
21	10824	481185
22	11516	489220
23	12123	493036
24	12362	482131
25	12938	484703
26	13451	484760
27	13971	484998
28	14462	484234
29	14973	484139
30	15398	481327
31	15958	482751
32	16222	475376
33	16694	474318
34	17229	475033
35	17570	470505
36	17964	467574
37	18457	467271
38	18932	466509
39	19466	467189
40	19992	467636
41	20435	466115
42	20936	465966
43	21407	465124
44	21959	466028
45	22473	466074
46	23084	468075
47	23554	467154
48	24004	465881
49	24523	465939
50	25039	465922
51	25529	465423
52	25871	462261
53	26398	462460
54	26901	462210
55	27328	460679
56	27900	461577
57	28215	458263
58	28746	458488
59	29193	457371
60	29720	457505
61	29912	452544
62	30121	447998
63	30575	447160
64	31046	446591
65	31516	446008
66	32032	446067
67	32317	442934
68	32787	442395
69	33060	439231
70	33673	440596
71	33986	438041
72	34432	437248
73	34925	437042
74	35436	437046
75	35890	436349
76	36272	434804
77	36769	434636
78	37255	434337
79	37690	433441
80	38169	433059
81	38621	432376
82	39076	431723
83	39452	430222
84	39999	430580
85	40428	429667
86	40775	427911
87	41357	428619
88	41825	428120
89	42452	429237
90	42953	429067
91	43398	428325
92	44031	429422
93	44560	429485
94	44790	426683
95	45243	426042
96	45412	422755
97	45862	422126
98	46100	419563
99	46656	419908
100	47066	418939
101	47335	416741
102	47702	415431
103	48210	415348
104	48689	415016
105	49121	414289
106	49475	412909
107	49638	409974
108	50156	409994
109	50671	409976
110	51217	410203
111	51544	408672
112	52068	408717
113	52573	408595
114	53068	408394
115	53583	408340
116	53821	406192
117	54265	405614
118	54499	403477
119	55069	403841
120	55586	403802
121	56145	404063
122	56429	402348
123	57082	403262
124	57702	403918
125	58256	404095
126	58722	403658
127	59060	402347
128	59413	401154
129	59852	400552
130	60344	400300
131	60818	399930
132	61325	399768
133	61863	399805
134	62452	400160
135	62880	399477
136	63381	399258
137	63745	398177
138	64348	398589
139	64869	398482
140	65463	398818
141	66002	398801
142	66249	397035
143	66626	396055
144	67183	396152
145	67735	396207
146	68063	394953
147	68674	395340
148	69173	395078
149	69673	394813
150	70231	394877
151	70777	394865
152	71272	394561
153	71819	394538
154	72397	394682
155	72563	392588
156	72814	390970
157	73080	389455
158	73244	387415
159	73430	385507
160	73971	385480
161	74471	385227
162	74841	384310
163	75344	384075
164	75835	383773
165	76195	382814
166	76718	382673
167	77205	382349
168	77694	382035
169	78222	381908
170	78656	381323
171	79136	380960
172	79602	380525
173	79893	379265
174	80464	379331
175	80656	377619
176	80881	376076
177	81349	375668
178	81863	375474
179	82079	373915
180	82634	373911
181	82907	372629
182	83441	372524
183	83861	371906
184	84337	371540
185	84546	370002
186	85069	369847
187	85551	369510
188	85980	368943
189	86259	367738
190	86775	367548
191	87125	366655
192	87382	365375
193	87726	364474
194	88240	364273
195	88531	363158
196	88897	362358
197	89369	361993
198	89851	361661
199	90056	360227
200	90236	358700
201	90673	358203
202	91120	357747
203	91486	356976
204	92016	356843
205	92516	356591
206	92711	355169
207	93258	355100
208	93741	354781
209	94242	354530
210	94688	354072
211	95272	354127
212	95533	352979
213	95963	352463
214	96513	352386
215	96742	351139
216	97079	350290
217	97307	349057
218	97681	348354
219	98220	348236
220	98677	347828
221	99175	347559
222	99581	346973
223	99831	345844
224	100082	344727
225	100669	344772
226	100950	343765
227	101485	343626
228	101760	342608
229	102068	341706
230	102594	341537
231	103121	341366
232	103664	341247
233	103889	340081
234	104100	338880
235	104607	338645
236	104786	337351
237	105382	337402
238	105807	336900
239	106039	335792
240	106664	335927
241	107181	335716
242	107536	335000
243	108156	335108
244	108670	334882
245	109304	335024
246	109771	334647
247	109961	333431
248	110221	332436
249	110818	332455
250	111101	331533
251	111720	331613
252	112176	331210
253	112724	331072
254	113073	330351
255	113629	330236
256	114105	329885
257	114350	328867
258	114912	328763
259	115181	327824
260	115755	327752
261	116336	327697
262	116877	327523
263	117402	327304
264	117568	326085
265	118067	325796
266	118595	325583
267	118809	324509
268	119301	324199
269	119773	323833
270	119980	322751
271	120543	322629
272	120927	322029
273	121517	321976
274	121788	321078
275	122301	320820
276	122868	320700
277	123082	319661
278	123468	319069
279	123778	318286
280	124212	317825
281	124443	316846
282	124657	315828
283	125146	315510
284	125512	314881
285	125719	313858
286	126305	313783
287	126844	313587
288	127036	312535
289	127501	312158
