iter	Logloss	Accuracy
0	0.6820230314	0.7287311929
1	0.6732883083	0.7489553184
2	0.6623587883	0.7517813672
3	0.6545231001	0.7506404724
4	0.6453026773	0.7508385918
5	0.6362651666	0.7535553334
6	0.6278600504	0.7539492951
7	0.6219371793	0.7535917692
8	0.6140110566	0.7543591974
9	0.6086541711	0.7540950381
10	0.6032043403	0.7544867226
11	0.5973753309	0.7542886031
12	0.5920312902	0.7553156362
13	0.5862550231	0.7549490013
14	0.5807811575	0.7557642515
15	0.5756417156	0.7559054401
16	0.5716726489	0.7559487076
17	0.5676833466	0.7557642515
18	0.5635246965	0.7570622756
19	0.5599582269	0.7568231659
20	0.5567364726	0.7569643544
21	0.5535096245	0.7569711861
22	0.5506235823	0.757221682
23	0.5478142849	0.7566569277
24	0.5462734237	0.7564656399
25	0.5435415063	0.755962371
26	0.5407627279	0.7563996001
27	0.5384939818	0.7563722733
28	0.5361784684	0.7570167308
29	0.5340080544	0.7567502943
30	0.5321492074	0.7567070269
31	0.5303789338	0.757957229
32	0.5297702988	0.7579299021
33	0.5279460302	0.7580323777
34	0.5262014769	0.7578775257
35	0.5253577015	0.758064259
36	0.5240092378	0.7580847541
37	0.5228934912	0.7580369322
38	0.5214156582	0.758257824
39	0.520238754	0.758219111
40	0.5190806215	0.7581917842
41	0.5180539744	0.7585014882
42	0.5169154219	0.7583170321
43	0.515906866	0.7583147549
44	0.5148602778	0.7587451523
45	0.513808904	0.758674558
46	0.5129204942	0.7587929743
47	0.5120816411	0.7591345595
48	0.5113403809	0.7593941644
49	0.5106578473	0.7595080261
50	0.5099348578	0.7595535708
51	0.5092080299	0.7596401058
52	0.50873683	0.7596173334
53	0.5081972472	0.7596924822
54	0.507540083	0.7598587203
55	0.5071096476	0.7598609976
56	0.5065062815	0.760068226
57	0.5062297553	0.7603141674
58	0.5056420698	0.7606762478
59	0.5052033543	0.7606534754
60	0.5046493938	0.7607969412
61	0.5045262594	0.7606830795
62	0.5044273671	0.7606716933
63	0.5038782146	0.7605327819
64	0.5034114209	0.7607787233
65	0.5030192198	0.760755951
66	0.5026033717	0.7608447632
67	0.5024517709	0.760862981
68	0.5021360487	0.7607764461
69	0.5020169581	0.7608811989
70	0.5017106087	0.7608470404
71	0.5014701002	0.7607741689
72	0.5011698949	0.7607969412
73	0.5008394301	0.7609927834
74	0.5004788504	0.7608584266
75	0.5001979988	0.7608128819
76	0.4999882593	0.7607240697
77	0.4996657807	0.7608880306
78	0.4994614765	0.7610451599
79	0.4991969652	0.7611408037
80	0.4989194763	0.7612159525
81	0.4986957401	0.7612227842
82	0.4984149184	0.7612478338
83	0.4983216178	0.7612159525
84	0.498104793	0.7612660517
85	0.4980018949	0.7612341704
86	0.4979077535	0.7613525866
87	0.4976404596	0.7615233792
88	0.4973938963	0.7614596167
89	0.4971881553	0.7615871418
90	0.4969935002	0.761714667
91	0.4968834797	0.7616691223
92	0.4967528958	0.7616463499
93	0.4965813198	0.7615529833
94	0.4965377219	0.7615666467
95	0.4964454955	0.7615302109
96	0.4964272141	0.7615256565
97	0.4963244272	0.7615393199
98	0.4962762249	0.7615461516
99	0.496119	0.7615962508
100	0.4960461687	0.7614550622
101	0.4960085424	0.7614801118
102	0.4959360359	0.7615643695
103	0.4958205507	0.7615757556
104	0.4956418846	0.7616235776
105	0.4955566712	0.7615712012
106	0.4954782801	0.7615620922
107	0.495470896	0.7616531816
108	0.4953782563	0.7616531816
109	0.4952039968	0.761792093
110	0.4950654906	0.7618535783
111	0.495032222	0.7619150637
112	0.4949242574	0.7619583312
113	0.4948127863	0.7619127864
114	0.4946300966	0.7619150637
115	0.4944991902	0.7619423905
116	0.4944883227	0.7619628856
117	0.4944469486	0.7619674401
118	0.4944308873	0.761985658
119	0.4943652632	0.761985658
120	0.4942002533	0.7621222921
121	0.4941062698	0.7622111043
122	0.4940863041	0.7622680351
123	0.493896493	0.7622407083
124	0.4937899104	0.7622224904
125	0.4936737941	0.7621837774
126	0.4935585475	0.7623522928
127	0.4935309527	0.762295362
128	0.4935087402	0.7622156587
129	0.4933220226	0.7624069465
130	0.493238079	0.7623932831
131	0.4931250578	0.7624479367
132	0.492983966	0.7624729863
133	0.4928272734	0.7625549668
134	0.4926746945	0.7625390261
135	0.4926355329	0.7626369472
136	0.4925676871	0.762702987
137	0.4925414372	0.7626574423
138	0.4924196719	0.7627303139
139	0.4922825991	0.7627553635
140	0.4922080824	0.7626847692
141	0.4921234487	0.7627872448
142	0.4921130526	0.7627872448
143	0.4920866333	0.7628350667
144	0.4919459659	0.762905661
145	0.4918678729	0.7628851659
146	0.4918621399	0.7628464529
147	0.4917275677	0.7628737797
