iter	Logloss	Accuracy
0	0.6843152454	0.7028510919
1	0.674260328	0.7293853756
2	0.6649034356	0.7281169585
3	0.65705729	0.7282923052
4	0.6489725934	0.7293853756
5	0.642550074	0.7364425113
6	0.6352958946	0.7362125111
7	0.6285387492	0.7419898436
8	0.6232578631	0.7385944937
9	0.6173237158	0.7386559789
10	0.6127139165	0.7503267825
11	0.6069999036	0.7504611391
12	0.601749695	0.7500922278
13	0.5968099734	0.7500785644
14	0.592318238	0.7501764853
15	0.5880625469	0.7499692574
16	0.5841622376	0.7507412384
17	0.5805123912	0.7503837133
18	0.5772533417	0.7508915355
19	0.5739990995	0.7511898527
20	0.5709025338	0.7533600528
21	0.5679281107	0.7512854963
22	0.5650701011	0.750955298
23	0.5622804018	0.7508847038
24	0.5594246337	0.7530936169
25	0.5571532076	0.7509507435
26	0.5545874058	0.7531004486
27	0.5523990835	0.7530480723
28	0.550296144	0.7532393596
29	0.5481915747	0.7532894587
30	0.5463057253	0.7533258944
31	0.5447821702	0.753312231
32	0.5431608047	0.7538041127
33	0.5416222117	0.751747774
34	0.5400050622	0.7513629221
35	0.5384886223	0.7513834172
36	0.5371959038	0.7514380707
37	0.536012748	0.7515451005
38	0.5347184181	0.7515428233
39	0.5334540205	0.7515154965
40	0.5320841548	0.7515109421
41	0.5308480999	0.7515860907
42	0.5297544243	0.7515883679
43	0.52848297	0.7515838134
44	0.5275157504	0.7516043085
45	0.5265794533	0.7516566848
46	0.5254911823	0.7516475759
47	0.5246057916	0.7517659918
48	0.5237831419	0.7518821306
49	0.5228540836	0.7535786669
50	0.5220515133	0.7537653998
51	0.5213112612	0.7538883702
52	0.5206170832	0.7539248059
53	0.5197696796	0.75384738
54	0.5190388031	0.7538701523
55	0.5183517099	0.7538291622
56	0.5177280798	0.7537631225
57	0.5170212099	0.7540067861
58	0.5164170776	0.7544349054
59	0.5158423752	0.7543483706
60	0.5153082583	0.7544599549
61	0.5146913046	0.7547628265
62	0.5142027999	0.7548060939
63	0.5136838577	0.7563956004
64	0.5131112036	0.7566187689
65	0.5126392795	0.756580056
66	0.5121773115	0.7566278778
67	0.5117675176	0.7565367887
68	0.5114069644	0.7577459978
69	0.5110351558	0.7577869879
70	0.5106657061	0.7579964931
71	0.5103417003	0.7580420377
72	0.5099080292	0.7580966912
73	0.5095894818	0.7581991665
74	0.5091740901	0.7583767905
75	0.508888375	0.7583175825
76	0.5085833277	0.7584086717
77	0.5082256958	0.7584792658
78	0.5078665318	0.7583767905
79	0.5076191252	0.7583745132
80	0.5072933745	0.7585270877
81	0.5069990487	0.758540751
82	0.5066987867	0.7586477808
83	0.5064171738	0.758599959
84	0.506197059	0.7586022362
85	0.5059768751	0.7586409491
86	0.5057523756	0.7586455036
87	0.5055383726	0.7588413454
88	0.5053157196	0.7585954045
89	0.505129062	0.75873887
90	0.5049161474	0.758629563
91	0.5046851063	0.7588686721
92	0.5045084558	0.7588231275
93	0.5043312908	0.7589096623
94	0.5041613107	0.7588117414
95	0.5040003126	0.7589347118
96	0.5038425091	0.7588663949
97	0.5036898649	0.758966593
98	0.5035512955	0.7590645139
99	0.503403943	0.7590349099
100	0.503260519	0.7590804545
101	0.5030585481	0.7591852071
102	0.5029358164	0.7592466923
103	0.5027972779	0.759203425
104	0.5026722303	0.7593514449
105	0.5025528539	0.7592421379
106	0.5023997206	0.7592808508
107	0.502274635	0.7594243163
108	0.5021436214	0.7593787717
109	0.5020266151	0.7594357024
110	0.501935091	0.7594721381
111	0.5017973129	0.7593856034
112	0.5016790202	0.7596019402
113	0.5015856108	0.7595313461
114	0.5014687533	0.7595586728
115	0.5013749453	0.7596156036
116	0.5012403037	0.7596588709
117	0.5011311581	0.7596839205
118	0.501011697	0.7596156036
119	0.500923947	0.759599663
120	0.5008107108	0.7595814451
121	0.5007152368	0.7597021383
122	0.5006280371	0.7597476829
123	0.5005512398	0.7597613463
124	0.5004736729	0.7597180789
125	0.500388786	0.7597863958
126	0.5003138575	0.7597636235
127	0.5002437897	0.75970897
128	0.5001519525	0.7596907522
129	0.5000794441	0.7595814451
130	0.4999830251	0.7597180789
131	0.4999236001	0.7595951085
132	0.4998532692	0.759620158
133	0.4997820418	0.7598046137
134	0.4997213738	0.759797782
135	0.4996479607	0.7598046137
136	0.499572566	0.7598296632
137	0.4995202761	0.7598068909
138	0.4994388427	0.7597727324
139	0.4993742019	0.7597112472
140	0.4993189053	0.7597158017
141	0.4992491017	0.7597158017
142	0.4991849909	0.7597271878
143	0.4991375996	0.7597112472
