iter	Passed	Remaining
0	54	54170
1	113	56627
2	167	55593
3	223	55742
4	280	55728
5	334	55462
6	388	55168
7	441	54806
8	501	55200
9	554	54939
10	615	55383
11	672	55341
12	727	55242
13	782	55132
14	838	55063
15	894	55000
16	948	54820
17	1004	54811
18	1061	54782
19	1115	54673
20	1171	54635
21	1227	54567
22	1285	54598
23	1339	54468
24	1394	54380
25	1447	54227
26	1503	54177
27	1558	54113
28	1621	54291
29	1680	54336
30	1737	54299
31	1792	54219
32	1850	54217
33	1906	54180
34	1962	54100
35	2015	53973
36	2070	53890
37	2123	53770
38	2180	53722
39	2233	53615
40	2289	53545
41	2344	53467
42	2398	53379
43	2454	53332
44	2508	53229
45	2564	53178
46	2625	53244
47	2681	53180
48	2738	53153
49	2792	53065
50	2847	52979
51	2904	52942
52	2956	52826
53	3013	52791
54	3067	52699
55	3126	52698
56	3179	52599
57	3231	52481
58	3303	52689
59	3360	52648
60	3415	52575
61	3475	52584
62	3529	52487
63	3593	52552
64	3647	52463
65	3707	52472
66	3765	52438
67	3821	52373
68	3880	52352
69	3933	52255
70	3990	52209
71	4045	52141
72	4104	52127
73	4159	52053
74	4212	51957
75	4268	51894
76	4322	51812
77	4376	51737
78	4429	51645
79	4483	51562
80	4536	51475
81	4593	51420
82	4647	51349
83	4702	51285
84	4757	51209
85	4810	51120
86	4866	51069
87	4922	51011
88	4975	50927
89	5033	50896
90	5089	50841
91	5141	50745
92	5196	50675
93	5251	50613
94	5304	50528
95	5358	50460
96	5410	50368
97	5466	50310
98	5519	50234
99	5573	50160
100	5651	50301
101	5702	50204
102	5755	50126
103	5807	50038
104	5863	49977
105	5918	49914
106	5976	49879
107	6033	49833
108	6087	49758
109	6140	49679
110	6207	49713
111	6269	49709
112	6320	49616
113	6375	49547
114	6429	49479
115	6483	49409
116	6538	49343
117	6596	49307
118	6655	49272
119	6710	49209
120	6763	49131
121	6816	49055
122	6870	48986
123	6923	48912
124	6979	48859
125	7031	48777
126	7087	48716
127	7136	48618
128	7190	48546
129	7247	48500
130	7299	48420
131	7402	48679
132	7514	48985
133	7571	48934
134	7636	48930
135	7692	48868
136	7749	48815
137	7802	48735
138	7855	48659
139	7909	48587
140	7968	48543
141	8020	48461
142	8080	48428
143	8134	48357
144	8190	48293
145	8245	48230
146	8298	48153
147	8357	48110
148	8409	48030
149	8468	47989
150	8522	47917
151	8577	47852
152	8644	47856
153	8700	47793
154	8752	47713
155	8805	47638
156	8860	47577
157	8917	47521
158	8976	47481
159	9029	47406
160	9085	47343
161	9142	47293
162	9196	47222
163	9253	47171
164	9311	47122
165	9410	47281
166	9501	47393
167	9584	47465
168	9651	47460
169	9704	47378
170	9761	47322
171	9817	47259
172	9872	47194
173	9924	47112
174	9978	47041
175	10032	46971
176	10091	46921
177	10142	46839
178	10198	46775
179	10255	46718
180	10310	46655
181	10365	46587
182	10417	46508
183	10488	46514
184	10600	46700
185	10691	46788
186	10745	46716
187	10796	46630
188	10850	46560
189	10907	46500
190	10959	46420
191	11016	46363
192	11072	46299
193	11130	46242
194	11187	46185
195	11243	46119
196	11298	46054
197	11351	45979
198	11408	45921
199	11463	45854
200	11518	45788
201	11573	45721
202	11630	45660
203	11692	45625
204	11751	45574
205	11806	45505
206	11861	45442
207	11915	45370
208	11972	45311
209	12028	45250
210	12087	45200
211	12141	45128
212	12199	45075
213	12258	45024
214	12313	44959
215	12367	44887
216	12423	44828
217	12478	44761
218	12531	44690
219	12585	44622
220	12639	44553
221	12701	44514
222	12753	44435
223	12809	44374
224	12868	44324
225	12926	44268
226	12980	44202
227	13041	44158
228	13099	44103
229	13151	44030
230	13209	43974
231	13263	43907
232	13331	43885
233	13390	43832
234	13449	43782
235	13509	43733
236	13564	43669
237	13617	43599
238	13685	43575
239	13743	43521
240	13801	43466
241	13854	43396
242	13907	43325
243	13963	43265
244	14015	43191
245	14074	43139
246	14133	43086
247	14194	43042
248	14252	42985
249	14309	42929
250	14363	42861
251	14416	42791
252	14473	42732
253	14530	42675
254	14591	42630
255	14650	42578
256	14714	42539
257	14770	42480
258	14824	42412
259	14881	42355
260	14939	42301
261	14989	42221
262	15044	42159
263	15100	42097
264	15156	42037
265	15212	41977
266	15271	41924
267	15327	41863
268	15382	41800
269	15441	41748
270	15494	41681
271	15549	41617
272	15607	41562
273	15661	41496
274	15726	41460
275	15779	41393
276	15833	41326
277	15893	41277
278	15947	41212
279	15999	41142
280	16053	41076
281	16109	41016
282	16167	40962
283	16222	40897
284	16279	40840
285	16330	40768
286	16382	40700
287	16438	40638
288	16489	40568
289	16542	40500
290	16601	40447
291	16654	40381
292	16715	40334
293	16772	40276
294	16831	40225
295	16891	40174
296	16947	40114
297	17004	40057
298	17060	39998
299	17143	40000
300	17276	40120
301	17373	40154
302	17449	40138
303	17501	40070
304	17560	40013
305	17616	39953
306	17669	39885
307	17733	39842
308	17790	39784
309	17850	39730
310	17907	39672
311	17960	39604
312	18013	39537
313	18067	39472
314	18118	39399
315	18174	39339
316	18228	39274
317	18286	39218
318	18339	39150
319	18392	39083
320	18450	39027
321	18507	38969
322	18565	38912
323	18623	38855
324	18676	38789
325	18742	38749
326	18794	38681
327	18848	38617
328	18908	38563
329	18964	38503
330	19019	38441
331	19072	38374
332	19124	38306
333	19182	38249
334	19237	38188
335	19294	38129
336	19353	38075
337	19406	38008
338	19461	37946
339	19518	37888
340	19587	37854
341	19671	37847
342	19771	37870
343	19838	37832
344	19892	37766
345	19942	37694
346	19996	37629
347	20049	37563
348	20106	37505
349	20158	37437
350	20220	37387
351	20273	37321
352	20324	37252
353	20377	37186
354	20436	37131
355	20488	37063
356	20545	37004
357	20605	36951
358	20661	36891
359	20723	36842
360	20786	36793
361	20843	36735
362	20897	36671
363	20955	36614
364	21009	36550
365	21063	36487
366	21126	36439
367	21184	36382
368	21243	36327
369	21296	36261
370	21352	36200
371	21412	36147
372	21466	36084
373	21518	36017
374	21574	35958
375	21633	35902
376	21685	35835
377	21745	35782
378	21796	35714
379	21853	35654
380	21906	35591
381	21960	35527
382	22020	35474
383	22078	35417
384	22135	35359
385	22193	35302
386	22248	35241
387	22307	35186
388	22365	35129
389	22426	35077
390	22481	35016
391	22533	34949
392	22589	34889
393	22648	34835
394	22698	34766
395	22760	34714
396	22817	34657
397	22877	34603
398	22935	34546
399	22987	34481
400	23042	34420
401	23096	34357
402	23150	34294
403	23207	34237
404	23266	34180
405	23338	34146
406	23398	34091
407	23459	34039
408	23517	33982
409	23570	33918
410	23627	33860
411	23686	33805
412	23753	33761
413	23809	33701
414	23863	33639
415	23916	33574
416	23975	33519
417	24034	33463
418	24086	33398
419	24144	33342
420	24194	33274
421	24254	33220
422	24307	33157
423	24366	33101
424	24426	33047
425	24486	32993
426	24542	32934
427	24597	32873
428	24652	32812
429	24707	32751
430	24775	32707
431	24834	32652
432	24893	32596
433	24947	32535
434	25006	32479
435	25060	32417
436	25118	32361
437	25174	32301
438	25235	32248
439	25293	32191
440	25344	32126
441	25396	32061
442	25493	32053
443	25612	32073
444	25679	32027
445	25738	31970
446	25802	31921
447	25859	31863
448	25916	31804
449	25972	31744
450	26025	31681
451	26078	31616
452	26131	31553
453	26196	31504
454	26257	31451
