iter	Logloss	Accuracy
0	0.6842665312	0.703673172
1	0.6747161587	0.7258511147
2	0.6652567952	0.7282627013
3	0.657119569	0.7290369594
4	0.6490059483	0.7284927015
5	0.6414535168	0.7277184433
6	0.634173668	0.7277958691
7	0.6274184294	0.7400154852
8	0.6218167443	0.7410379614
9	0.6156669536	0.7412793478
10	0.6101458614	0.7415526154
11	0.6051192335	0.7508186642
12	0.6001707422	0.750351832
13	0.5956432587	0.7506888621
14	0.5912103733	0.7503427231
15	0.5870250822	0.7510532189
16	0.5830706054	0.7505044064
17	0.5794898765	0.7508710405
18	0.5760802511	0.7517136156
19	0.5727868529	0.7517341106
20	0.5693540913	0.7515473778
21	0.5663307349	0.7518616355
22	0.5635722593	0.7520552001
23	0.560959065	0.7535877758
24	0.5584796953	0.7511784665
25	0.5561039635	0.7513560905
26	0.5536628606	0.7514471797
27	0.551538931	0.7516043085
28	0.5497547347	0.7514039123
29	0.5479071024	0.7516931205
30	0.5460305918	0.7518160909
31	0.5443595641	0.7518183681
32	0.5425444035	0.7520119327
33	0.5409652558	0.7518388632
34	0.5395428867	0.7517864869
35	0.5382171394	0.7518980712
36	0.5368448577	0.7518980712
37	0.5355620043	0.7519276752
38	0.533959603	0.7520620317
39	0.5327325591	0.7519299524
40	0.5315786649	0.7521599526
41	0.530242686	0.7521599526
42	0.5292054738	0.7540067861
43	0.5279951503	0.7560084713
44	0.5270731173	0.7560995605
45	0.5259057642	0.7561428279
46	0.5249372402	0.7542481725
47	0.5241066941	0.7562248081
48	0.5231449764	0.7563181746
49	0.5223422605	0.7563386696
50	0.5215679359	0.7561724319
51	0.5208861285	0.7563181746
52	0.5199895746	0.7562453032
53	0.5191807396	0.7564798579
54	0.5184107163	0.7564297588
55	0.517776898	0.7564183727
56	0.5170413617	0.7564775807
57	0.5163367552	0.756441145
58	0.5157578849	0.7564343133
59	0.5151348015	0.7565367887
60	0.5145699225	0.7565254025
61	0.5140442322	0.7566961947
62	0.5135347881	0.7567371849
63	0.5130615583	0.7568282741
64	0.512591783	0.7570263931
65	0.5121535599	0.7570787694
66	0.5117346348	0.7571789675
67	0.5113570336	0.7573930271
68	0.5109717607	0.7586341175
69	0.5106139782	0.7585840184
70	0.5101633192	0.7585658006
71	0.5098386392	0.7588185731
72	0.5094784995	0.7586363947
73	0.5090651202	0.7589028306
74	0.5086724879	0.7588390682
75	0.508334774	0.7588413454
76	0.5079958287	0.7589893653
77	0.5077156539	0.7590280782
78	0.5074431864	0.7591282764
79	0.5071574882	0.7589142167
80	0.5069166271	0.7592854052
81	0.5066598102	0.7593059003
82	0.5063305498	0.7594106529
83	0.5061079335	0.7593286726
84	0.5058695499	0.7594243163
85	0.5056338698	0.7593332271
86	0.5054062962	0.7594243163
87	0.5051388861	0.759401544
88	0.5048600692	0.7595222372
89	0.5046290634	0.759510851
90	0.5044249851	0.7594653064
91	0.5042079296	0.7595359005
92	0.5040538079	0.7594630292
93	0.503886059	0.7595290688
94	0.5037320324	0.7595518411
95	0.503570877	0.7596770888
96	0.5034246382	0.7597271878
97	0.5032209192	0.7597066928
98	0.50301518	0.7597431285
99	0.5028456548	0.7597567918
100	0.5026984689	0.7597226334
101	0.5025075765	0.7598296632
102	0.5023504638	0.7597613463
103	0.5021765807	0.7598319404
104	0.5020348947	0.7598023364
105	0.5019117265	0.7600209505
106	0.5017925599	0.7600277822
107	0.5016552382	0.7600710496
108	0.5015088247	0.7600186733
109	0.5013655034	0.7600414456
110	0.5012523039	0.7599685742
111	0.5011466532	0.7600072871
112	0.5010414211	0.7599503564
113	0.500950879	0.7599571881
114	0.5008549414	0.7601188714
115	0.5007324991	0.7601120397
116	0.500629354	0.7600642179
117	0.5005319273	0.7601279803
118	0.5004635661	0.7600983763
119	0.5003731855	0.7602213468
120	0.5002786734	0.7602304557
121	0.5001822031	0.7602350101
122	0.5000573991	0.7602714458
123	0.4999763154	0.7602555052
124	0.4998713462	0.7602281784
125	0.4998016984	0.7602919409
126	0.4997242057	0.7603078815
127	0.4996474821	0.7602851092
128	0.4995779084	0.7602577824
129	0.499507066	0.7602486735
130	0.4994111003	0.7603078815
131	0.4993184361	0.7602760003
132	0.499256175	0.760332931
133	0.4991958572	0.7603010498
134	0.4991319149	0.7602714458
135	0.4990685058	0.760392139
136	0.498977004	0.7604058024
137	0.49889609	0.7604968916
138	0.4988300376	0.7604331291
139	0.4987746124	0.7603761984
140	0.4987043539	0.7604126341
141	0.498648923	0.760421743
142	0.4985799792	0.7604262975
143	0.4985356453	0.7604035252
144	0.4984853611	0.7604103568
145	0.4984182055	0.7604285747
146	0.4983531976	0.7604399608
147	0.4982979466	0.7604445153
148	0.4982387344	0.7604262975
149	0.4981787936	0.7604718421
150	0.4981328538	0.7605128322
151	0.4980808809	0.7604855054
152	0.4980345322	0.7605060005
153	0.4979783219	0.7604968916
154	0.4979301278	0.7605082777
