iter	Logloss	Accuracy
80	0.4952242454	0.7601980284
81	0.4951909968	0.7601524837
82	0.4951602637	0.7602321869
83	0.4951583238	0.7602321869
84	0.4951572195	0.7602321869
85	0.495132952	0.7603232763
86	0.4950772572	0.7603597121
87	0.4950175615	0.7604735738
88	0.495008588	0.7604735738
89	0.4950077981	0.7604735738
90	0.4949810444	0.7605259502
91	0.494945926	0.7605851583
92	0.4949404433	0.7605601088
93	0.4949250791	0.7605692177
94	0.494879718	0.7605942673
95	0.4948776012	0.7605965445
96	0.4948441188	0.7605327819
97	0.4948302887	0.7605009006
98	0.4948063455	0.760562386
99	0.494796995	0.7605692177
100	0.4947777362	0.7606102079
101	0.4947537915	0.7606990201
102	0.4947248465	0.7606375348
103	0.494660169	0.7605646632
104	0.4946418577	0.7604872372
105	0.4946351611	0.760669416
106	0.4945872946	0.7606990201
107	0.4945656125	0.7607309014
108	0.4945621961	0.7607149608
109	0.4945336232	0.7606625843
110	0.4945323424	0.7606830795
111	0.4945308642	0.7606853567
112	0.494508187	0.760794664
113	0.4944571233	0.7608037729
114	0.4944516988	0.7607217925
115	0.4944483403	0.7607263469
116	0.494428725	0.7607377331
117	0.4944245618	0.7607878323
118	0.4944117642	0.7608310997
119	0.4943849213	0.7608424859
120	0.4943809227	0.7608561493
121	0.4943738151	0.7608675355
122	0.4943483263	0.7609039713
123	0.4943482697	0.7609062485
124	0.4943452762	0.7608925851
125	0.4942941166	0.7609563477
126	0.4942883494	0.7609358526
127	0.4942628112	0.7610497143
128	0.4942466091	0.7610679322
129	0.4942434597	0.7610292192
130	0.4942296514	0.7610018924
131	0.4942245547	0.7609996151
132	0.4942126474	0.7609768428
133	0.4941906726	0.7609996151
134	0.4941770195	0.7609973379
135	0.4941753111	0.7609973379
136	0.494170264	0.76097912
137	0.4941674892	0.7610110013
138	0.4941291998	0.7610155558
139	0.4941245097	0.7609631794
140	0.4940858532	0.7609700111
141	0.4940456778	0.761026942
142	0.4940129183	0.7609768428
143	0.4939854572	0.7609199119
144	0.493961958	0.7609631794
145	0.4939583496	0.7609745656
146	0.4939553643	0.7609950607
147	0.4939483464	0.7609631794
148	0.4939483464	0.7609631794
149	0.4939341853	0.7610884273
150	0.4939306185	0.7610542688
151	0.493923786	0.761056546
152	0.4939011937	0.7611863484
153	0.4938909072	0.761220507
154	0.4938680108	0.7611521899
155	0.4938488971	0.7611795167
156	0.4938292557	0.7611089224
157	0.4938018398	0.7612341704
158	0.4937683492	0.7613024874
159	0.4937399802	0.76136625
160	0.4937072353	0.7613047647
161	0.4937047957	0.7612819923
162	0.4936751536	0.7613343687
163	0.4936751522	0.7613343687
164	0.4936685711	0.7613503094
165	0.4936519308	0.7613867451
166	0.4936459164	0.7614117947
167	0.4936269672	0.7613821907
168	0.4936198259	0.7614391215
169	0.4935919211	0.7614254581
170	0.4935907666	0.7614140719
171	0.4935844633	0.7614596167
172	0.4935711645	0.7613685272
173	0.4935698077	0.7613708045
174	0.4935620445	0.7613981313
175	0.493557805	0.7613594183
176	0.4935577357	0.7613594183
177	0.4935534936	0.7614072402
178	0.4935292774	0.7614755573
179	0.4934805594	0.7614710028
180	0.4934379725	0.7614778345
181	0.4934325656	0.7614778345
182	0.49342766	0.7614004085
183	0.4934114299	0.7614527849
184	0.4933968986	0.7614778345
185	0.4933835809	0.7615256565
186	0.4933649424	0.7615074386
187	0.4933618865	0.7614960524
188	0.4933479846	0.7615871418
189	0.4933132218	0.7615666467
190	0.4932963392	0.761705558
191	0.4932857435	0.7616987263
192	0.4932631831	0.7616918946
193	0.493230148	0.761792093
194	0.4932101729	0.7617738751
195	0.4931983115	0.7617784296
