iter	Logloss	Accuracy
0	0.684285784	0.7029672307
1	0.6742228118	0.7274770569
2	0.665830382	0.7437660829
3	0.6571778046	0.7317240908
4	0.6506377883	0.7398993464
5	0.6427226492	0.7398538018
6	0.6356814661	0.7319427049
7	0.6286955213	0.7454717282
8	0.6221265095	0.7454717282
9	0.6161134122	0.7450185594
10	0.610332491	0.7446473709
11	0.6053716568	0.7501058912
12	0.6003584758	0.7495616332
13	0.5958113172	0.7501423269
14	0.5916121571	0.7504588618
15	0.5881960426	0.7504497529
16	0.5841377553	0.750242525
17	0.5804117775	0.7506547036
18	0.5768079768	0.7503700499
19	0.5737191264	0.7509962881
20	0.5709386247	0.7510919318
21	0.5680330642	0.7514175757
22	0.5650698386	0.7510668822
23	0.562683027	0.7511625259
24	0.5599191977	0.7513856944
25	0.557400251	0.7509689614
26	0.5552108369	0.751351536
27	0.5530517421	0.7511420308
28	0.5508217297	0.7525630223
29	0.5487821313	0.7529911416
30	0.5468174825	0.7526040125
31	0.5452293906	0.7552205497
32	0.5433317327	0.7556145105
33	0.5416477408	0.755530253
34	0.5398193331	0.7556258967
35	0.5382675436	0.7554050054
36	0.5368261471	0.7537221324
37	0.5354520201	0.7533008449
38	0.5342736729	0.7556919363
39	0.5330137188	0.7554323321
40	0.5318348755	0.7534784688
41	0.5305751086	0.7537107462
42	0.5295017596	0.7519345069
43	0.5282453357	0.753619657
44	0.5272101608	0.7553799558
45	0.5262327577	0.7554960946
46	0.5251433958	0.7554255004
47	0.5243436276	0.7556418373
48	0.5236173405	0.7557761938
49	0.5227537666	0.7558422335
50	0.5220595049	0.755867283
51	0.5211338352	0.7558490652
52	0.5203985975	0.7558786692
53	0.5196973726	0.7559720356
54	0.5189987747	0.7558946098
55	0.5181845517	0.7559173821
56	0.5175386926	0.7558786692
57	0.5168340948	0.7559970851
58	0.5162686496	0.7560562931
59	0.5157261402	0.7565322342
60	0.5152003256	0.7565390659
61	0.5146842512	0.7565254025
62	0.5140996771	0.7565868877
63	0.5136078768	0.7566893631
64	0.5131932871	0.7567599572
65	0.5126417691	0.7581103546
66	0.5122655809	0.758114909
67	0.511768158	0.7580739189
68	0.5112601457	0.7580078792
69	0.5109203625	0.7579964931
70	0.5104529952	0.7580875823
71	0.5101229037	0.7580397604
72	0.5097817386	0.7581968893
73	0.5094644912	0.758798078
74	0.5091596292	0.7587821374
75	0.5087638244	0.7588026325
76	0.5084515358	0.7589096623
77	0.5082057714	0.7589028306
78	0.507873265	0.7584041172
79	0.5076090023	0.7588345137
80	0.5073683245	0.758857286
81	0.5070567396	0.7590462961
82	0.506821325	0.7591601576
83	0.506609626	0.7591988705
84	0.5063079627	0.7592216428
85	0.5060177728	0.7592762963
86	0.5057900563	0.7592694646
87	0.5055785909	0.7593263954
88	0.5053832009	0.759283128
89	0.5052004967	0.7591578804
90	0.5049946113	0.7591123358
91	0.5048198409	0.7592330289
92	0.504581947	0.7592603557
93	0.5044218138	0.7592466923
94	0.5042120909	0.7593241181
95	0.5040695206	0.7593036231
96	0.5038433282	0.7592466923
97	0.503666913	0.7592353062
98	0.5034720053	0.7591396625
99	0.5033050992	0.7592375834
100	0.5031130985	0.7593605538
101	0.5029856587	0.7593377815
102	0.5028417368	0.7593332271
103	0.5026656272	0.7593172865
104	0.5025476841	0.7593628311
105	0.5023983461	0.7593514449
106	0.5022862692	0.7593696627
107	0.5021480684	0.7593969895
108	0.5020310636	0.7594174846
109	0.501905009	0.7593696627
110	0.5017796294	0.7593833261
111	0.5016661351	0.7593628311
112	0.5015603011	0.7593969895
113	0.5014637835	0.7592649102
114	0.501363894	0.7593969895
115	0.5012680931	0.7594448113
116	0.5011694418	0.7595085738
117	0.5010501421	0.7595336233
118	0.5009508921	0.7594835242
119	0.5008598307	0.7595541184
120	0.5007681192	0.759599663
121	0.5006679388	0.7597112472
122	0.500577329	0.7596725343
123	0.5004921964	0.7596953066
124	0.500396591	0.7596884749
125	0.5003249291	0.75985699
126	0.5002264221	0.7598911484
127	0.5001464722	0.7596861977
128	0.5000734142	0.7598592672
129	0.5000042572	0.7599048118
130	0.4999396133	0.7599298613
131	0.4998601531	0.7599594653
132	0.4997884572	0.7599389702
133	0.4997256625	0.7599549108
134	0.4996624886	0.7600414456
135	0.4995837271	0.7600664951
136	0.499523116	0.7600050099
137	0.4994604486	0.7600300594
138	0.4993970663	0.7600687723
139	0.4993189658	0.7600095644
140	0.4992724078	0.7600642179
141	0.4991986526	0.7601530299
142	0.4991464546	0.7602076834
143	0.4990954542	0.7602646141
144	0.4990474639	0.7603169904
145	0.4989901248	0.7602873864
146	0.4989346564	0.7603238221
147	0.4988920237	0.7603078815
148	0.4988468501	0.7602031289
149	0.4987760093	0.7602099606
150	0.4987277828	0.7601780794
151	0.4986669058	0.7602122378
152	0.4986092616	0.7601826338
153	0.4985506548	0.7601461982
154	0.4985008014	0.760105208
155	0.4984595563	0.7600664951
156	0.4984078064	0.76019402
157	0.4983605352	0.7601598615
158	0.4983271915	0.7601188714
159	0.4982840737	0.7601120397
160	0.4982411349	0.7601257031
161	0.4981980972	0.7601962972
162	0.4981539135	0.7602167923
163	0.4981160297	0.7601621388
164	0.4980704443	0.7601598615
165	0.4980380689	0.7601257031
166	0.4979956553	0.7601780794
167	0.4979573379	0.7602076834
168	0.4979108029	0.760253228
169	0.4978749481	0.7602008517
170	0.4978408127	0.7602259012
171	0.4978094548	0.7602054061
172	0.4977610959	0.7602350101
173	0.4977309113	0.7602327329
174	0.4976967145	0.7602919409
175	0.4976554776	0.7602281784
176	0.4976339056	0.7602213468
177	0.4975980214	0.7601712477
178	0.4975698106	0.7601029308
179	0.4975356258	0.7601621388
180	0.4975065467	0.7601758022
181	0.4974759599	0.7601985745
182	0.4974401867	0.7601849111
183	0.4974150223	0.7601803566
184	0.4973908202	0.7602054061
185	0.4973588592	0.7601917428
186	0.4973357627	0.760253228
187	0.4973068063	0.7601894655
188	0.497275093	0.7602509507
189	0.4972477868	0.7601803566
190	0.4972266761	0.7601735249
191	0.4971944699	0.7601393665
192	0.4971569265	0.7602190695
193	0.4971246337	0.7602418418
194	0.4970995298	0.7601279803
195	0.4970771435	0.7601917428
196	0.497042848	0.7602395646
197	0.4970189294	0.7602054061
198	0.496999184	0.7602213468
199	0.4969734671	0.7602054061
200	0.4969401811	0.7602054061
201	0.4969159609	0.7602327329
202	0.496871387	0.7602782775
203	0.4968475059	0.7602190695
204	0.4968259574	0.7602054061
205	0.4968005726	0.7603283766
206	0.4967799144	0.7602851092
207	0.4967383419	0.7603306538
208	0.4967082328	0.7602555052
209	0.4966874296	0.7602782775
210	0.496663316	0.7603397627
211	0.4966404506	0.7603192676
212	0.4966182687	0.7603306538
213	0.4965921094	0.760282832
214	0.4965757224	0.7603966935
215	0.4965557778	0.7603306538
216	0.4965236152	0.7603853073
217	0.496500873	0.760362535
218	0.4964818446	0.7603147132
219	0.4964599761	0.760392139
220	0.4964448036	0.7603875845
221	0.496423046	0.7604581787
222	0.496401762	0.7604058024
223	0.4963773737	0.7604171885
224	0.4963482252	0.7603807529
225	0.4963278311	0.7604103568
226	0.496314055	0.7604126341
227	0.496295085	0.7604080796
228	0.4962735482	0.7603989707
229	0.4962457081	0.760421743
230	0.4962232146	0.7604308519
231	0.4962027523	0.7604035252
232	0.4961810501	0.7604262975
233	0.4961671661	0.7605264956
234	0.496141447	0.7604581787
235	0.4961236137	0.7605492679
236	0.4961060786	0.7604490698
237	0.4960844515	0.7606016442
238	0.4960647233	0.760590258
